url,streams
spotify:track:2QQ5yNnAe7vl9WOOkRrtlL,"[26197, 27379, 23514, 21242, 19480, 15800, 14110, 13082, 12520]"
spotify:track:58q2HKrzhC3ozto2nDdN4z,"[26182, 22854, 20351, 18347, 17951, 17309, 18156, 18768, 17888, 17440, 16736, 15513, 16489, 15793, 15038, 15269, 14334, 14196, 14017, 14610, 14851, 15184, 15938, 16257, 16218, 17293, 17277, 17257, 16690, 16952, 15898, 15602, 15421, 15236, 15151, 15139, 14320, 13833, 16211]"
spotify:track:08bNPGLD8AhKpnnERrAc6G,"[26115, 25719, 22658, 20627, 20927, 24696, 22204, 22932, 21086, 19865, 19747, 18879, 18551, 18067, 17747, 18176, 17057, 16383, 16247, 16282, 16430, 16535, 16700, 16692, 16768, 17713, 17543, 17668, 17075, 16618, 15542, 16117, 16917, 17492, 18263, 17056, 16942, 16066, 16651, 16900, 16512, 16196, 15761, 16942, 13758, 14650, 14460, 14925, 18604, 17342, 16893, 16832, 15558]"
spotify:track:0tp6mwUt99QnfY95T30Lqj,"[26096, 21428, 22329, 22631, 22688, 22219, 23142, 23656, 22995, 22880, 23143, 20750, 22089, 22159, 21530, 22341, 18974, 18657, 18815, 19198, 19038, 18607, 19186, 19997, 21314, 20418, 21595, 24173, 22624, 22306, 21353, 20922, 19725, 19383, 18287, 17596, 16927, 16148, 15995, 16198, 16037, 15968, 15807]"
spotify:track:2LskIZrCeLxRvCiGP8gxlh,"[25829, 28963, 27611, 23607, 17834, 14750, 13375, 12988, 12740]"
spotify:track:5vdp5UmvTsnMEMESIF2Ym7,"[25757, 24248, 25455, 23953, 26632, 28954, 31897, 33521, 34548, 34676, 32974, 31092, 31031, 27872, 25170, 25250, 24199, 21297, 20446, 20023, 20134, 19592, 19992, 22505, 24647, 22658, 23359, 22657, 22839, 22321, 21431, 20806, 20585, 20812, 18991, 18549, 19002, 18792, 18788, 18194, 18471, 17832, 18407, 19815, 17308, 17759, 17439, 17282, 17676, 19686, 18798, 18196, 16376, 17717, 17306, 17113, 16643, 17326, 17529, 16974, 16361, 14478, 15557, 15400, 15378, 16722]"
spotify:track:0todbbT9g5uQGbeFCiBf2F,"[25684, 24776, 18953, 15339, 12643]"
spotify:track:14sOS5L36385FJ3OL8hew4,"[25226, 28370, 23728, 22192, 21941, 23044, 23177, 23718, 23267, 23770, 22931, 21389, 22895, 23009, 22642, 21908, 20367, 20791, 20398, 19806, 19029, 19534, 19286, 19902, 20398, 20141, 20432, 17974, 17398, 16449, 17465, 17304, 17918, 17539, 14783, 17760, 18072, 18525, 18482, 18898, 19668, 19401, 19695, 19680, 18091, 19526, 18851, 18369, 18174, 18842, 16725, 18533, 19855, 21191, 21334, 21105, 20890, 21071, 21472, 20755, 20755, 19899, 19341, 19010, 19721, 18327, 18123, 17522, 16494, 18095, 15822, 15634]"
spotify:track:0pqnGHJpmpxLKifKRmU6WP,"[24837, 25943, 26684, 26176, 23858, 24113, 23801, 23449, 23448, 23043, 22953, 22040, 22871, 22383, 22456, 23266, 22117, 21024, 21150, 21722, 22889, 23150, 26383, 27056, 26721, 24833, 24847, 24183, 24349, 24227, 24393, 23989, 24511, 23957, 23939, 22286, 22835, 23505, 23755, 23504, 23677, 23804, 24651, 26714, 22206, 23266, 23355, 23431, 23222, 27739, 26384, 23910, 24343, 23744, 25868, 25198, 25373, 25265, 25589, 25596, 25615, 25200, 25036, 25487, 25006, 24242, 24535, 23467, 24035, 24053, 24007, 24761, 23879, 24630, 24432, 24923, 24368, 24729, 24655, 24811, 24534, 24765, 23707, 22989, 23112, 23320, 22960, 22184, 21700, 21965, 21670, 21511, 22315, 22624, 21905, 23377, 21075, 21787, 21816, 21811, 21985, 23420, 23111, 22523, 20636, 22912, 22421, 23241, 23312, 23234, 22812, 23332, 23300, 23719, 23203, 23447, 23551, 21942, 23309, 22921, 22126, 22105, 21346, 21355, 21027, 21876, 23372, 23313, 22095, 21670, 22479, 22242, 22565, 22150, 22051, 21988, 24881, 24727, 23932, 23039, 22967, 23310, 22547, 21843, 21527, 21513, 22899, 22063, 23024, 24860, 26566, 26482, 27361, 28758, 30529, 26799, 27397, 27619, 28557, 27880, 26927, 26990, 27085, 26393, 26314, 25788, 26700, 25998, 25584, 25411, 27508, 26099, 26388, 27088, 26569, 27153, 26261, 26053, 27504, 28472, 27070, 28496, 26160, 26515, 25610, 25523, 26101, 28055, 28324, 30549, 29724, 31832, 30097, 30861, 30631, 31046, 34871, 33627, 33838, 32773, 35909, 35505, 37801, 36488, 34707, 36689, 34619, 34294, 35540, 35876, 37026, 33359, 34246, 36943, 44206, 62707, 43433, 40159, 36523]"
spotify:track:2RSHsoi04658QL5xgQVov3,"[24550, 29927, 27133, 25888, 24869, 23351, 16989, 16417, 16047, 16080, 15584, 15550, 16837, 16618, 16640, 16366, 15585, 15658, 15220, 14988, 15027, 15435, 17361, 16582, 16506, 15556, 14410, 13927, 13901, 13607, 13176, 13774, 13273, 14068, 13830, 14348, 14376, 14537, 14508, 14668, 15269, 14029, 14368, 14524, 14405]"
