music,streams,average,std_dev
Pussy & Millions (feat. Travis Scott),"[67954, 33600]",50777.0,17177.0
On BS,[56521],56521.0,0.0
Circo Loco,[44776],44776.0,0.0
Spin Bout U,[42887],42887.0,0.0
Privileged Rappers,[42532],42532.0,0.0
BackOutsideBoyz,[41687],41687.0,0.0
Broke Boys,[40430],40430.0,0.0
My Mind & Me,[37468],37468.0,0.0
Dream On,"[36868, 41980, 45604, 40525, 35681, 35499, 36615, 33740, 34412, 30570, 30139, 34038]",36305.916666666664,4321.932832625031
Supreme,[32720],32720.0,0.0
Treacherous Twins,[32430],32430.0,0.0
Hours In Silence,[31999],31999.0,0.0
WORTH NOTHING (feat. Oliver Tree) - Fast & Furious: Drift Tape/Phonk Vol 1,"[31617, 32089, 35156, 36743, 34262, 32690, 35054, 32451, 32272, 39654, 34542, 31141]",33972.583333333336,2361.1152187872767
Neo,[30833],30833.0,0.0
Diferença Mara,[49069],49069.0,0.0
Limbo,"[36490, 40239, 40728, 41302, 41747, 40849, 31820, 33207, 37351, 38945, 33287, 32747, 32010]",36978.61538461538,3745.7589051015984
A Gólyában ma este,[36320],36320.0,0.0
Ábrahám és Izsák,[32065],32065.0,0.0
Harag,[31178],31178.0,0.0
Aki élni akar,[30860],30860.0,0.0
How Do I Say Goodbye,"[30485, 32786, 32649]",31973.333333333332,1053.895735935117
Megtanítalak élni,"[88636, 119733, 84310, 66536, 55040, 39201, 36684, 40438, 40504, 43536, 39371, 32771, 31940]",55284.61538461538,25901.73264040744
Nem megyek vissza,"[79796, 100703, 65185, 53242, 44365, 32411, 36816, 34433, 32938]",53321.0,22727.41022544266
AVA,"[68765, 46495, 35722, 30295]",45319.25,14738.731939603895
"Sex, Love, Rock & Roll","[60270, 88122, 62562, 51958, 44464, 31602, 36661, 35052, 35319]",49556.666666666664,17335.466464896628
Hova vezet ez az út,"[58880, 70754, 43689, 37135]",52614.5,13110.848761617228
Végül hazaérsz,"[56699, 64239, 38352, 31613]",47725.75,13235.317740330225
Red flag,"[52369, 58947, 35550]",48955.333333333336,9852.063822141814
Down In Atlanta,"[46980, 29786]",38383.0,8597.0
NEM én,[42829],42829.0,0.0
"Olyan, mint valami drog - skit","[32170, 29745]",30957.5,1212.5
Azt beszélik a városban,"[74564, 53504, 45077, 38202]",52836.75,13664.811037387235
Esőben,"[40632, 57959, 54221, 50307, 39661, 37061, 33264]",44729.28571428572,8692.850341586727
1001,[35264],35264.0,0.0
Szeszélyes,[30433],30433.0,0.0
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"[76683, 50336, 37171]",54730.0,16427.21244358478
Raindrops (Insane) [with Travis Scott],"[60649, 36395]",48522.0,12127.0
Umbrella (with 21 Savage & Young Nudy),[52266],52266.0,0.0
On Time (with John Legend),"[50846, 32311]",41578.5,9267.5
Metro Spider (with Young Thug),[44051],44051.0,0.0
Around Me (feat. Don Toliver),[43107],43107.0,0.0
Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa],[42488],42488.0,0.0
I Can't Save You (Interlude) [with Future & feat. Don Toliver],[39089],39089.0,0.0
Lock On Me (with Travis Scott & Future),[34811],34811.0,0.0
Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),[32191],32191.0,0.0
Deck The Hall,"[41005, 66239, 100649, 50757, 98132]",71356.4,24276.407127909188
Escapism. - Sped Up,"[36725, 37298, 35162, 43881, 58916, 62712, 40587, 35224, 33671]",42686.22222222222,10156.62734679817
Parado no Bailão,"[34923, 39121, 30132, 30720]",33724.0,3622.557452960546
Christmas Kaboom,"[39908, 56818, 63205]",53310.333333333336,9829.050355394915
That's Christmas to Me,"[35531, 43607, 56680]",45272.666666666664,8714.00728074569
Have Yourself A Merry Little Christmas - Remastered 1999,[48697],48697.0,0.0
Frosty the Snowman (feat. The Puppini Sisters),"[42444, 52294]",47369.0,4925.0
Until I Found You (with Em Beihold) - Em Beihold Version,"[37208, 47344, 32984, 30971, 32602, 32559, 32392, 34305, 34902, 34760, 32735]",34796.545454545456,4277.6625810160385
Gimme! Gimme! Gimme! (A Man After Midnight),[35586],35586.0,0.0
Őrült lány,"[33483, 32867, 32919]",33089.666666666664,278.9376672703459
Sure Thing,"[31042, 48783, 55375, 52447, 46127, 40511, 37494, 34415]",43274.25,8202.233640143397
Just Dance,[30164],30164.0,0.0
Just Wanna Rock,"[29384, 31063, 29957, 30334, 32717, 32002, 38262, 37008, 34942, 34302, 34282, 33615]",33155.666666666664,2664.913423651049
Party Monster,"[29089, 32178, 34328, 34611, 34660, 32416, 31724, 32533, 33769, 34899, 33540, 33720]",33122.25,1583.8153367212144
I'm Still Standing,[28389],28389.0,0.0
new gatti,"[72210, 53071, 43279, 44362]",53230.5,11596.653666036595
b terv,"[64072, 41567, 32258]",45965.666666666664,13355.244920587898
omg,"[51394, 31062]",41228.0,10166.0
te és én interlude,"[50795, 34280, 42070]",42381.666666666664,6745.821340322878
a főteret járva,[49976],49976.0,0.0
ébredezem,[49294],49294.0,0.0
egy kanapén,[45216],45216.0,0.0
kitörési kényszer,[44844],44844.0,0.0
spirál,[43052],43052.0,0.0
penészszag,[42866],42866.0,0.0
kókusz,[40166],40166.0,0.0
promesse,[35466],35466.0,0.0
múzsa,[35213],35213.0,0.0
Rumble,[32364],32364.0,0.0
Green Green Grass,"[32168, 35411, 36801, 33185, 31500, 33272, 32436]",33539.0,1756.4332365010957
The Color Violet,[30275],30275.0,0.0
útvesztő,[29158],29158.0,0.0
"Shakira: Bzrp Music Sessions, Vol. 53","[102799, 150794, 131977, 98149, 80042, 69010, 57343, 47096, 45848, 42594, 39726, 36649]",75168.91666666667,36590.269789153725
Gyöngyhajú Lány,[43841],43841.0,0.0
Szemtelen,"[35804, 47282, 31427]",38171.0,6685.669899120057
Push Up - Original Mix,"[34088, 35383, 33896, 33661, 37620]",34929.6,1471.7193482454459
Üres a város,[33306],33306.0,0.0
Party In The U.S.A.,"[31066, 31669]",31367.5,301.5
Low,"[29755, 30193]",29974.0,219.0
BABY SAID,"[52629, 44356, 37931, 32830, 38323, 34625]",40115.666666666664,6655.558069930892
Nonsense,[43068],43068.0,0.0
GASOLINE,[35416],35416.0,0.0
TIMEZONE,[33756],33756.0,0.0
OWN MY MIND,[32937],32937.0,0.0
"Hey, Mickey!","[31834, 48022, 32371]",37409.0,7507.725754181489
Vlami más,"[31490, 33558]",32524.0,1034.0
Million Dollar Baby,[30117],30117.0,0.0
