name,url
Hajtól Szívig,['spotify:track:3EUmMPmhhpICaQ6ubu4hle']
Like I Do,['spotify:track:4aBYzs8RxZMuqyOanNlf8I']
KorsKorsKors,['spotify:track:7ei7kWLs2k2V1xoeswJC2i']
"U, u, u",['spotify:track:1A1UTrTxZGjybb29iLCVAF']
Mi Gente,['spotify:track:7COfe3P7KgfwDwIRB8LIDw']
"Survive (feat. Emeli Sandé, Gucci Mane)",['spotify:track:1gnKUue6F9gXXHQshCBwEs']
"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",['spotify:track:4Uy3kNxW2kB8AEoXljEcth']
Electricity,['spotify:track:5N4erncE7kuUccm7zEmwzk']
Mindenki táncol /90'/,['spotify:track:75JtuuAnLKjLu8FyEMIzRe']
Pretty Girl - Cheat Codes X CADE Remix,['spotify:track:1NDxZ7cFAo481dtYWdrUnR']
We Will Rock You - Remastered 2011,['spotify:track:4pbJqGIASGPr0ZpGpnWkDn']
Sweet Dreams (Are Made of This) - Remastered,['spotify:track:1TfqLAPs4K3s2rJMoCokcS']
Killer Queen - Remastered 2011,"['spotify:track:7GqWnsKhMtEW0nzki5o0d8', 'spotify:track:4cIPLtg1avt2Jm3ne9S1zy']"
In My Feelings,['spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ']
Lucky You (feat. Joyner Lucas),['spotify:track:60SdxE8apGAxMiRrpbmLY0']
I Love It (& Lil Pump),['spotify:track:4S8d14HvHb70ImctNgVzQQ']
Rewrite The Stars (with James Arthur & Anne-Marie),['spotify:track:6mQLN3zRtAp6ovjusyYKrV']
Woman Like Me (feat. Nicki Minaj),['spotify:track:222B3aljXx6fFwKmFjuBED']
"Thunderclouds (feat. Sia, Diplo, and Labrinth)","['spotify:track:2c7GlMNmF7pbohjykutmLP', 'spotify:track:4lJNen4SMTIJMahALc3DcB']"
Perfect,"['spotify:track:0tgVpDi06FyKpA1z0VMD4v', 'spotify:track:5jbDih9bLGmI8ycUKkN5XA']"
Danza Kuduro,['spotify:track:2a1o6ZejUi8U3wzzOtCOYw']
Falling Down - Bonus Track,['spotify:track:4jvjzW7Hm0yK4LvvE0Paz9']
I Like Me Better,['spotify:track:2P91MQbaiQOfbiz9VqhqKQ']
Him & I (with Halsey),['spotify:track:5k38wzpLb15YgncyWdTZE4']
Wake Me Up,"['spotify:track:4h8VwCb1MTGoLKueQ1WgbD', 'spotify:track:3B0irDyS69y5eAz15xV2Ee', 'spotify:track:0nrRP2bk19rLc0orkWPQk2']"
All Falls Down (feat. Juliander),['spotify:track:1HvCFAUIWQsWV9zud3UhDl']
Diamond Heart,['spotify:track:0nrWZWkJM62ftQJSI8fDc0']
Can't Hold Us (feat. Ray Dalton),"['spotify:track:3bidbhpOYeV4knp8AIu8Xn', 'spotify:track:22skzmqfdWrjJylampe0kt']"
In the End,['spotify:track:60a0Rd6pjrkxjPbaKzXjfq']
idontwannabeyouanymore,['spotify:track:40T5GIqQ1CegGm2PTEl8Bu']
This Feeling,['spotify:track:4NBTZtAt1F13VvlSKe6KTl']
BAD!,['spotify:track:22An65gG31JLf9n18qjdhZ']
