artist_names,track_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,popularity_score1,popularity_score2
Dzsúdló,Hiszti,spotify:track:7L1hQz6lpfdskdWNbsBg4L,0.788,0.64,4,-8.218,1,0.145,0.581,0.0,0.182,0.569,130.073,audio_features,7L1hQz6lpfdskdWNbsBg4L,https://api.spotify.com/v1/tracks/7L1hQz6lpfdskdWNbsBg4L,https://api.spotify.com/v1/audio-analysis/7L1hQz6lpfdskdWNbsBg4L,156923,4,0.0105565982334156,0.0183723096934175
Dzsúdló,Ha eddig nem kellettem,spotify:track:0WiQVffKlsnClBBKZ1K3Zj,0.822,0.651,7,-4.987,1,0.0904,0.315,0.0,0.117,0.401,109.987,audio_features,0WiQVffKlsnClBBKZ1K3Zj,https://api.spotify.com/v1/tracks/0WiQVffKlsnClBBKZ1K3Zj,https://api.spotify.com/v1/audio-analysis/0WiQVffKlsnClBBKZ1K3Zj,215455,4,0.0188818941799041,0.0328613441376836
Lil Nas X,THATS WHAT I WANT,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,audio_features,0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/tracks/0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/audio-analysis/0e8nrvls4Qqv5Rfa2UhqmO,143901,4,0.0238999897808696,0.0415946504939192
Manuel,3 Nap,spotify:track:0R7YvZPeHphkV48ffoGmsl,0.803,0.842,8,-4.913,1,0.124,0.0892,2.37e-05,0.216,0.588,100.038,audio_features,0R7YvZPeHphkV48ffoGmsl,https://api.spotify.com/v1/tracks/0R7YvZPeHphkV48ffoGmsl,https://api.spotify.com/v1/audio-analysis/0R7YvZPeHphkV48ffoGmsl,170100,4,0.0199770353115309,0.0347672869028975
Lil Nas X,HOLIDAY,spotify:track:6zFMeegAMYQo0mt8rXtrli,0.81,0.511,5,-6.924,0,0.164,0.12,0.0,0.0832,0.837,151.947,audio_features,6zFMeegAMYQo0mt8rXtrli,https://api.spotify.com/v1/tracks/6zFMeegAMYQo0mt8rXtrli,https://api.spotify.com/v1/audio-analysis/6zFMeegAMYQo0mt8rXtrli,154998,4,0.0213964593580545,0.037237599554038
"Purple Disco Machine, Kungs, Julian Perretta",Substitution (feat. Julian Perretta),spotify:track:2F2p7b5Xq20mRyEeWYaeUF,0.69,0.89,0,-4.866,0,0.0507,0.00903,1.61e-05,0.188,0.713,124.018,audio_features,2F2p7b5Xq20mRyEeWYaeUF,https://api.spotify.com/v1/tracks/2F2p7b5Xq20mRyEeWYaeUF,https://api.spotify.com/v1/audio-analysis/2F2p7b5Xq20mRyEeWYaeUF,181478,4,0.0204834827430995,0.0356486891169896
Beach Weather,"Sex, Drugs, Etc.",spotify:track:7DbdUf8aHSYoliSjO6LZv6,0.572,0.839,4,-5.083,0,0.0377,0.013,0.00976,0.522,0.465,143.969,audio_features,7DbdUf8aHSYoliSjO6LZv6,https://api.spotify.com/v1/tracks/7DbdUf8aHSYoliSjO6LZv6,https://api.spotify.com/v1/audio-analysis/7DbdUf8aHSYoliSjO6LZv6,196784,4,0.0116983709033411,0.02035940824804
"The Chainsmokers, ILLENIUM, Lennon Stella",Takeaway,spotify:track:6wo37KVqFJhtuxPTpLCcfe,0.294,0.505,3,-8.106,1,0.042,0.12,0.0,0.0977,0.357,85.332,audio_features,6wo37KVqFJhtuxPTpLCcfe,https://api.spotify.com/v1/tracks/6wo37KVqFJhtuxPTpLCcfe,https://api.spotify.com/v1/audio-analysis/6wo37KVqFJhtuxPTpLCcfe,209893,1,0.0189752115900041,0.0330237502765019
ByeAlex és a Slepp,Csokko,spotify:track:38qhsm0c4QVk6BMhtvZFWv,0.781,0.651,4,-4.816,0,0.202,0.592,0.0,0.398,0.707,156.084,audio_features,38qhsm0c4QVk6BMhtvZFWv,https://api.spotify.com/v1/tracks/38qhsm0c4QVk6BMhtvZFWv,https://api.spotify.com/v1/audio-analysis/38qhsm0c4QVk6BMhtvZFWv,162821,4,0.023775581559874,0.0413781350678321
"Metro Boomin, Future, Don Toliver",Too Many Nights (feat. Don Toliver & with Future),spotify:track:2Hh3ETdQKrmSI3QS0hme7g,0.573,0.668,7,-4.356,0,0.0467,0.189,4.01e-05,0.109,0.145,87.973,audio_features,2Hh3ETdQKrmSI3QS0hme7g,https://api.spotify.com/v1/tracks/2Hh3ETdQKrmSI3QS0hme7g,https://api.spotify.com/v1/audio-analysis/2Hh3ETdQKrmSI3QS0hme7g,199920,4,0.0139248168800815,0.0241232658697307
"Halott Pénz, Oláh Heléna",Szétszeretlek,spotify:track:6WQEKiTWe0n15DdcPg8wab,0.785,0.57,0,-6.535,1,0.0467,0.368,0.0,0.31,0.603,120.005,audio_features,6WQEKiTWe0n15DdcPg8wab,https://api.spotify.com/v1/tracks/6WQEKiTWe0n15DdcPg8wab,https://api.spotify.com/v1/audio-analysis/6WQEKiTWe0n15DdcPg8wab,182500,4,0.0143830312002273,0.0249170734986128
"Pogány Induló, ekhoe, Ótvar Pestis",12+1,spotify:track:52GlArsRTqvo36GXJQa7ab,0.782,0.39,6,-12.833,0,0.406,0.501,0.0,0.0884,0.387,107.631,audio_features,52GlArsRTqvo36GXJQa7ab,https://api.spotify.com/v1/tracks/52GlArsRTqvo36GXJQa7ab,https://api.spotify.com/v1/audio-analysis/52GlArsRTqvo36GXJQa7ab,337348,4,0.0182266803037045,0.031575787220426
"Beton.Hofi, Hundred Sins",PLAYBÁNIA,spotify:track:7A9EcBrwTG6bwswUy7beWW,0.278,0.508,9,-7.072,0,0.0968,0.74,0.0,0.103,0.0409,174.912,audio_features,7A9EcBrwTG6bwswUy7beWW,https://api.spotify.com/v1/tracks/7A9EcBrwTG6bwswUy7beWW,https://api.spotify.com/v1/audio-analysis/7A9EcBrwTG6bwswUy7beWW,184944,4,0.0193000882663453,0.0334353524766492
"Marshmello, Halsey",Be Kind (with Halsey),spotify:track:3Z8FwOEN59mRMxDCtb8N0A,0.63,0.633,4,-7.088,1,0.0457,0.00776,0.0,0.0541,0.452,93.992,audio_features,3Z8FwOEN59mRMxDCtb8N0A,https://api.spotify.com/v1/tracks/3Z8FwOEN59mRMxDCtb8N0A,https://api.spotify.com/v1/audio-analysis/3Z8FwOEN59mRMxDCtb8N0A,172762,4,0.0164813627460645,0.028552209974661
"Kolg8eight, Csoky, Beton.Hofi, Pogány Induló",Rizikó,spotify:track:6WBuRbov384zl6wPJ49piD,0.881,0.701,1,-5.895,1,0.27,0.502,1.99e-05,0.0868,0.487,94.955,audio_features,6WBuRbov384zl6wPJ49piD,https://api.spotify.com/v1/tracks/6WBuRbov384zl6wPJ49piD,https://api.spotify.com/v1/audio-analysis/6WBuRbov384zl6wPJ49piD,224697,4,0.0268381070079745,0.0464941691060762
